scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy,delta_bytes_avg,folds,max_delta_tail
AB-OPEN,betree,2,50000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,1.778,0.000,0.000,0.000,0.000,68,23.337,disabled,0.000,0,0
AB-RESOLVE,betree,2,50000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,0.331,0.330,0.351,0,0.000,disabled,0.000,0,0
AB-TRICKLE,flat,3,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.587,6.521,6.889,0,3,13.583,0.000,0.000,0.000,0.000,3,13.583,disabled,0.000,0,0
AB-TRICKLE,betree,3,50000,10,500,128,contiguous,3042.812,27.416,3968.904,0.422,0.386,0.471,7,26,4.936,2.000,0.386,0.343,0.591,0,0.000,disabled,898.676,16,32
AB-REPLACE,flat,3,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.404,6.324,6.703,0,3,12.961,0.000,0.000,0.000,0.000,3,12.961,disabled,0.000,0,0
AB-REPLACE,betree,3,50000,10,500,128,contiguous,2506.124,56.720,4199.368,0.428,0.377,0.468,12,27,4.922,2.000,0.344,0.337,0.374,0,0.000,disabled,1636.524,18,32
AB-MIXED,flat,3,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.507,6.431,6.805,0,3,14.107,0.000,0.000,0.000,0.000,3,14.107,disabled,0.000,0,0
AB-MIXED,betree,3,50000,10,1000,128,contiguous,2995.555,11.473,3405.144,0.425,0.397,0.481,9,26,8.513,2.000,0.385,0.344,0.528,0,0.000,disabled,398.116,31,32
AB-OPEN,flat,3,50000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,13.031,0.000,0.000,0.000,0.000,3,13.031,disabled,0.000,0,0
AB-RESOLVE,flat,3,50000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled,0.000,0,0
AB-OPEN,betree,3,50000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,1.497,0.000,0.000,0.000,0.000,68,23.191,disabled,0.000,0,0
AB-RESOLVE,betree,3,50000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,0.335,0.335,0.354,0,0.000,disabled,0.000,0,0
AB-TRICKLE,flat,1,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.577,6.486,7.057,0,3,14.659,0.000,0.000,0.000,0.000,3,14.659,disabled,0.000,0,0
AB-TRICKLE,betree,1,50000,10,500,128,scattered,4556.474,32.830,5489.086,0.436,0.417,0.495,7,2,4.303,2.000,0.472,0.470,0.537,0,0.000,disabled,899.782,19,32
AB-REPLACE,flat,1,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.420,6.333,6.784,0,3,13.150,0.000,0.000,0.000,0.000,3,13.150,disabled,0.000,0,0
AB-REPLACE,betree,1,50000,10,500,128,scattered,7168.030,54.024,8875.418,0.517,0.399,0.476,34,29,5.276,2.000,0.481,0.481,0.505,0,0.000,disabled,1653.364,17,32
AB-TRICKLE,flat,2,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.710,6.609,7.222,0,3,13.502,0.000,0.000,0.000,0.000,3,13.502,disabled,0.000,0,0
AB-TRICKLE,betree,2,50000,10,500,128,scattered,4556.474,32.830,5489.086,0.431,0.410,0.508,7,2,4.137,2.000,0.456,0.457,0.492,0,0.000,disabled,899.782,19,32
AB-REPLACE,flat,2,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.456,6.371,6.772,0,3,12.704,0.000,0.000,0.000,0.000,3,12.704,disabled,0.000,0,0
AB-REPLACE,betree,2,50000,10,500,128,scattered,7168.030,54.024,8875.418,0.521,0.401,0.485,34,29,5.174,2.000,0.484,0.484,0.509,0,0.000,disabled,1653.364,17,32
AB-TRICKLE,flat,3,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.743,6.589,7.387,0,3,13.369,0.000,0.000,0.000,0.000,3,13.369,disabled,0.000,0,0
AB-TRICKLE,betree,3,50000,10,500,128,scattered,4556.474,32.830,5489.086,0.428,0.410,0.495,7,2,4.069,2.000,0.449,0.444,0.516,0,0.000,disabled,899.782,19,32
AB-REPLACE,flat,3,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.432,6.329,6.781,0,3,12.676,0.000,0.000,0.000,0.000,3,12.676,disabled,0.000,0,0
AB-REPLACE,betree,3,50000,10,500,128,scattered,7168.670,54.024,8876.058,0.518,0.401,0.486,34,29,6.785,2.000,0.494,0.487,0.543,0,0.000,disabled,1653.364,17,32
